,note_name,start_time,duration,velocity,tempo
0,D4,0.0,1.498,127,130.0
1,G4,1.5,0.498,127,130.0
2,B-4,2.0,1.498,127,130.0
3,G4,3.5,0.498,127,130.0
4,F#4,4.0,1.498,127,130.0
5,G4,5.5,0.248,127,130.0
6,A4,5.75,0.248,127,130.0
7,G4,6.0,1.998,127,130.0
8,E-4,8.0,1.498,127,130.0
9,F4,9.5,0.248,127,130.0
10,G4,9.75,0.248,127,130.0
11,D4,10.0,1.998,127,130.0
12,C4,12.0,0.248,127,130.0
13,B-3,12.25,0.373,127,130.0
14,A3,13.0,0.748,127,130.0
15,D4,13.75,0.248,127,130.0
16,G3,14.0,1.998,127,130.0
17,D4,16.0,1.498,127,130.0
18,G4,17.5,0.248,127,130.0
19,B-4,17.75,0.248,127,130.0
20,D5,18.0,1.498,127,130.0
21,B-4,19.5,0.498,127,130.0
22,A4,20.0,1.498,127,130.0
23,B-4,21.5,0.248,127,130.0
24,C5,21.75,0.248,127,130.0
25,B-4,22.0,1.998,127,130.0
26,E-4,24.0,0.248,127,130.0
27,F4,24.25,0.248,127,130.0
28,G4,24.5,0.248,127,130.0
29,E-4,24.75,0.248,127,130.0
30,D4,25.0,0.248,127,130.0
31,E-4,25.25,0.248,127,130.0
32,F4,25.5,0.248,127,130.0
33,D4,25.75,0.248,127,130.0
34,C4,26.0,0.248,127,130.0
35,D4,26.25,0.248,127,130.0
36,E-4,26.5,0.248,127,130.0
37,C4,26.75,0.248,127,130.0
38,B-3,27.0,0.248,127,130.0
39,C4,27.25,0.248,127,130.0
40,D4,27.5,0.248,127,130.0
41,B-3,27.75,0.248,127,130.0
42,C4,28.0,0.498,127,130.0
43,B-3,28.5,0.248,127,130.0
44,A3,29.0,0.373,127,130.0
45,D4,29.75,0.248,127,130.0
46,G3,30.0,0.998,127,130.0
47,G4,31.0,0.498,127,130.0
48,D4,32.0,1.498,127,130.0
49,G4,33.5,0.498,127,130.0
50,B-4,34.0,1.498,127,130.0
51,G4,35.5,0.498,127,130.0
52,F#4,36.0,0.248,100,130.0
53,F#4,36.5,0.248,100,130.0
54,F#4,37.0,0.248,100,130.0
55,G4,37.5,0.248,127,130.0
56,A4,37.75,0.248,127,130.0
57,G4,38.0,1.998,127,130.0
58,E-4,40.0,1.498,127,130.0
59,F4,41.5,0.248,127,130.0
60,G4,41.75,0.248,127,130.0
61,D4,42.0,1.998,127,130.0
62,C4,44.0,0.248,127,130.0
63,B-3,44.25,0.373,127,130.0
64,A3,45.0,0.748,127,130.0
65,D4,45.75,0.248,127,130.0
66,G3,46.0,1.998,127,130.0
67,B-3,48.0,0.998,127,130.0
68,B-4,49.0,0.998,100,130.0
69,D5,50.0,1.498,127,130.0
70,B-4,51.5,0.498,127,130.0
71,A4,52.0,0.248,100,130.0
72,A4,52.5,0.248,100,130.0
73,A4,53.0,0.248,100,130.0
74,B-4,53.5,0.248,127,130.0
75,C5,53.75,0.248,127,130.0
76,B-4,54.0,1.998,127,130.0
77,E-5,56.0,0.248,127,130.0
78,F5,56.25,0.248,127,130.0
79,G5,56.5,0.248,127,130.0
80,E-5,56.75,0.248,127,130.0
81,D5,57.0,0.248,127,130.0
82,E-5,57.25,0.248,127,130.0
83,F5,57.5,0.248,127,130.0
84,D5,57.75,0.248,127,130.0
85,C5,58.0,0.248,127,130.0
86,D5,58.25,0.248,127,130.0
87,E-5,58.5,0.248,127,130.0
88,C5,58.75,0.248,127,130.0
89,B-4,59.0,0.248,127,130.0
90,C5,59.25,0.248,127,130.0
91,D5,59.5,0.248,127,130.0
92,B-4,59.75,0.248,127,130.0
93,C5,60.0,0.248,127,130.0
94,B-4,60.25,0.373,127,130.0
95,A4,61.0,0.748,127,130.0
96,D5,61.75,0.248,127,130.0
97,G4,62.0,0.998,127,130.0
98,B-4,62.875,-0.002,127,130.0
99,D5,62.875,-0.002,127,130.0
100,G5,63.0,0.498,127,130.0
101,D5,64.0,0.498,127,130.0
102,D5,65.0,0.498,127,130.0
103,E-5,66.0,1.498,127,130.0
104,D5,67.5,0.498,127,130.0
105,C5,68.5,0.998,127,130.0
106,B4,69.5,0.248,127,130.0
107,C5,69.75,0.248,127,130.0
108,D5,70.0,0.248,127,130.0
109,C5,70.25,0.248,127,130.0
110,B4,70.5,0.248,127,130.0
111,D5,70.75,0.248,127,130.0
112,C5,71.0,0.498,127,130.0
113,C5,72.0,0.498,127,130.0
114,C5,73.0,0.498,127,130.0
115,D5,74.0,1.498,127,130.0
116,C5,75.5,0.498,127,130.0
117,B-4,76.5,0.998,127,130.0
118,A4,77.5,0.248,127,130.0
119,B-4,77.75,0.248,127,130.0
120,C5,78.0,0.248,127,130.0
121,B-4,78.25,0.248,127,130.0
122,A4,78.5,0.248,127,130.0
123,C5,78.75,0.248,127,130.0
124,B-4,79.0,0.498,127,130.0
125,A4,80.0,0.498,127,130.0
126,A4,81.0,0.498,127,130.0
127,C5,82.0,0.248,127,130.0
128,B-4,82.5,0.498,127,130.0
129,A4,83.5,0.998,127,130.0
130,G4,84.5,0.498,127,130.0
131,F#4,85.5,0.248,127,130.0
132,G4,85.75,0.248,127,130.0
133,A4,86.0,0.248,127,130.0
134,G4,86.25,0.248,127,130.0
135,F#4,86.5,0.248,127,130.0
136,A4,86.75,0.248,127,130.0
137,G4,87.0,0.498,127,130.0
138,D5,88.0,0.498,127,130.0
139,D4,89.75,0.123,127,130.0
140,E4,90.0,0.498,127,130.0
141,F#4,91.0,0.373,127,130.0
142,A4,91.875,0.123,127,130.0
143,G4,92.0,0.248,127,130.0
144,G4,92.5,0.998,127,130.0
145,F#4,93.5,0.248,127,130.0
146,G4,93.75,0.248,127,130.0
147,A4,94.0,0.248,127,130.0
148,G4,94.25,0.248,127,130.0
149,F#4,94.5,0.248,127,130.0
150,A4,94.75,0.248,127,130.0
151,G4,95.0,0.498,127,130.0
152,D5,96.0,0.498,127,130.0
153,D5,97.0,0.498,127,130.0
154,E-5,98.0,1.498,127,130.0
155,D5,99.5,0.498,127,130.0
156,C5,100.5,0.998,127,130.0
157,B4,101.5,0.248,127,130.0
158,C5,101.75,0.248,127,130.0
159,D5,102.0,0.248,127,130.0
160,C5,102.25,0.248,127,130.0
161,B4,102.5,0.248,127,130.0
162,D5,102.75,0.248,127,130.0
163,C5,103.0,0.498,100,130.0
164,C5,104.5,0.498,100,130.0
165,C5,105.5,0.498,100,130.0
166,D5,106.0,1.498,127,130.0
167,C5,107.5,0.498,127,130.0
168,B-4,108.5,0.998,127,130.0
169,A4,109.5,0.248,127,130.0
170,B-4,109.75,0.248,127,130.0
171,C5,110.0,0.248,127,130.0
172,B-4,110.25,0.248,127,130.0
173,A4,110.5,0.248,127,130.0
174,C5,110.75,0.248,127,130.0
175,B-4,111.0,0.498,127,130.0
